Patron,Card Barcode,Year Joined,Patron Phone,Book Barcode,Title,Year,Author,Author Year,Publisher,Publisher Phone,Checkout,Due,Returned
Lonny Duffy,1315125572084926153778412,2012,773-202-5135,2225429597255383034942261,Integration of the Indian States,1277,"Menon, V P",1708,Prentice Hall,1-047-873-5865,2458166.5,2458197.5,1
Mikel Merritt,9453203636282874762776000,1987,507.908.3739,8808290969501732972037495,Ayn Rand Answers,1138,"Rand, Ayn",1805,Penguin,824.149.4511,2458298.5,2458303.5,1
Alonzo Crawford,3941136294053688766036728,1981,1-811-700-9337,5358783078551900124459819,Textbook of Economic Theory,1555,"Stonier, Alfred",1849,Orient Blackswan,552-486-8974,2458246.5,2458248.5,1
Irvin Rivera,4756416611975552524550569,1981,(925) 773-4993,0990496488014250491732927,Philosophy: Who Needs It,1186,"Rand, Ayn",1805,Dell,+1-(172)-750-1157,2458181.5,2458182.5,1
Donetta Mcdonald,9610688376985651779371613,1971,1-428-201-3380,6047736264607826189445886,"Age of Discontuinity, The",1738,"Drucker, Peter",1512,HBA,210.406.2584,2458208.5,2458232.5,1
Tam Zamora,4082557406318658168661086,2005,(369) 034-2493,3067982873792827871019730,Down and Out in Paris & London,1145,"Orwell, George",1589,BBC,(277) 273-2102,2458154.5,2458191.5,1
Ethyl Huber,2170456213913206867221432,1981,1-171-535-4717,9786589892022351169524908,"Prisoner of Birth, A",1044,"Archer, Jeffery",1565,Jaico,253.778.3477,2458156.5,2458182.5,1
Theola Flowers,5460282786346486873785483,2001,+1-(378)-844-2783,9678100799780687198224979,"Age of the Warrior, The",1301,"Fisk, Robert",1594,HBA,210.406.2584,2458230.5,2458258.5,1
Deedra Whitfield,5929004553169235536637630,1972,1-929-909-6988,8582380360684165441580378,O Jerusalem!,1998,"Lapierre, Dominique",1804,Fontana,326.658.5696,2458284.5,2458288.5,1
Josef Suarez,5062216475407120681295148,1997,1-833-273-5807,8794219524833865714759804,"Case of the Lame Canary, The",1091,"Gardner, Earle Stanley",1919,Jaico,253.778.3477,2458236.5,2458261.5,1
Bill Morales,5713468365007349888696601,2015,902.994.6482,8668616329357513970543412,Sea of Poppies,1168,"Ghosh, Amitav",1628,Elsevier,359.226.5396,2458276.5,2458291.5,1
Sebastian Cohen,3793207514512264318315954,2009,130-139-3755,1499307477803089452099082,Girl who kicked the Hornet's Nest,1810,"Larsson, Steig",1938,HBA,210.406.2584,2458263.5,2458264.5,1
Bennett Daniel,3521007764925597111961645,1973,(377) 750-0899,0487856354050840248489253,Data Smart,1316,"Foreman, John",1792,Jaico,253.778.3477,2458212.5,2458214.5,1
Gus Osborn,2484494513105041833102568,2002,+1-(722)-011-9042,2352610464613094304227652,Data Mining Handbook,1284,"Nisbet, Robert",1538,FreePress,890.262.9357,2458310.5,2458315.5,1
Martin Lowe,7000578059379359669442274,1997,+1-(477)-925-1033,5304170213159178284639918,"Hidden Connections, The",1068,"Capra, Fritjof",1934,Routledge,+1-(476)-431-0927,2458168.5,2458199.5,1
Danyel Winters,1551957181361566363953067,1987,1-421-512-6368,0320271503058598387038199,Dylan on Dylan,1457,"Dylan, Bob",1443,BBC,(277) 273-2102,2458149.5,2458155.5,1
Alonzo Crawford,3941136294053688766036728,1981,1-811-700-9337,9394702267898768384775046,Girl with the Dragon Tattoo,1153,"Larsson, Steig",1938,Pearson,1-293-811-9652,2458153.5,2458159.5,1
Ramiro Brown,5877521440081394399419735,2013,+1-(549)-851-9635,1824761261240967736918991,Empire of the Mughal - Brothers at War,1305,"Rutherford, Alex",1765,Springer,(279) 282-8193,2458298.5,2458316.5,1
Martin Lowe,7000578059379359669442274,1997,+1-(477)-925-1033,2185532360080804375932467,"Signal and the Noise, The",1205,"Silver, Nate",1469,Routledge,+1-(476)-431-0927,2458168.5,2458187.5,1
Asa Small,9637502981006384207558569,1971,1-240-960-8564,8582380360684165441580378,O Jerusalem!,1998,"Lapierre, Dominique",1804,Fontana,326.658.5696,2458303.5,2458305.5,1
Gus Osborn,2484494513105041833102568,2002,+1-(722)-011-9042,0294171462887780212878667,Slaughterhouse Five,1725,"Vonnegut, Kurt",1620,Hyperion,882.640.9487,2458123.5,2458147.5,1
Erik Daugherty,4365231141253166525953820,1976,1-944-254-5205,9185879282803936700567661,Birth of a Theorem,1519,"Villani, Cedric",1748,Bodley Head,(172) 571-4178,2458261.5,2458292.5,1
Lonny Duffy,1315125572084926153778412,2012,773-202-5135,8760820287841977249246641,"Winter of Our Discontent, The",1208,"Steinbeck, John",1733,MIT Press,+1-(514)-735-5947,2458236.5,2458241.5,1
Gus Osborn,2484494513105041833102568,2002,+1-(722)-011-9042,2564893183112187228483100,Empire of the Mughal - The Serpent's Tooth,1128,"Rutherford, Alex",1765,BBC,(277) 273-2102,2458234.5,2458238.5,1
Irmgard Harding,5167849246197346073040370,1994,1-235-585-9499,3830125534877247284504049,Principles of Communication Systems,1049,"Taub, Schilling",1514,Prentice Hall,1-047-873-5865,2458158.5,2458167.5,1
Jc Ratliff,5590283029754282816780572,1987,+1-(448)-483-3507,1341406182730564806048481,New Markets & Other Essays,1547,"Drucker, Peter",1512,Apress,836.632.0273,2458151.5,2458153.5,1
Louie Kirk,3091734774841364634443101,1990,+1-(849)-040-3851,3103850133867804047293393,"Last Lecture, The",1935,"Pausch, Randy",1468,Elsevier,359.226.5396,2458136.5,2458162.5,1
Pasquale Mathis,3474187461233062560925445,2017,274-095-8783,3705508924988459389075807,Principles of Communication Systems,1747,"Taub, Schilling",1514,O'Reilly,1-122-313-8760,2458284.5,2458294.5,1
Deshawn Ellison,3258249040169280179399806,1975,1-907-648-6291,8924493764129962167755238,"Short History of the World, A",1042,"Wells, H G",1862,Simon&Schuster,1-242-414-8385,2458272.5,2458285.5,1
Sydney Richmond,4022335375794614600991850,1989,(836) 884-0853,5288360356720548754057957,Jim Corbett Omnibus,1208,"Corbett, Jim",1667,Jaico,253.778.3477,2458137.5,2458144.5,1
Asa Small,7690635780455082508202074,1983,+1-(001)-935-0335,9614925545541789273108773,Machine Learning for Hackers,1191,"Conway, Drew",1924,Transworld,1-291-560-4782,2458132.5,2458146.5,1
Karmen Knox,1532751081865920834277724,1991,(574) 470-3461,3671738468795660339519946,Data Structures Using C & C++,1950,"Tanenbaum, Andrew",1536,Routledge,+1-(476)-431-0927,2458258.5,2458273.5,1
Alexander Kinney,9393364417977409669494386,2006,1-230-696-0080,7782132830162020543035538,Jim Corbett Omnibus,1523,"Corbett, Jim",1667,Pearson,1-293-811-9652,2458263.5,2458268.5,1
Leland Weiss,8590449388533589280436070,1979,1-034-581-5266,8854865574949746910260027,God Created the Integers,1104,"Hawking, Stephen",1440,Fontana,326.658.5696,2458258.5,2458283.5,1
Deetta Price,0962883899006672771065771,1977,1-450-122-2815,7592506949162432096787360,Doctor in the Nude,1323,"Gordon, Richard",1845,Springer,(279) 282-8193,2458150.5,2458151.5,1
Alton Stokes,3417298192108140969606917,1999,228.343.5668,6816158297860868183034387,"Idiot, The",1738,"Dostoevsky, Fyodor",1591,Orient Blackswan,552-486-8974,2458194.5,2458238.5,1
Catherin Leonard,5741968981108119678011171,2006,(000) 978-4621,5313873282586994908230021,"Judge, The",1478,Rene Caesar,1549,Orient Blackswan,552-486-8974,2458240.5,2458244.5,1
Deetta Price,0962883899006672771065771,1977,1-450-122-2815,7740799262043214240478751,"Hidden Connections, The",1118,"Capra, Fritjof",1934,Elsevier,359.226.5396,2458142.5,2458154.5,1
Danyel Winters,1551957181361566363953067,1987,1-421-512-6368,8676896388829220017846106,"City of Joy, The",1141,"Lapierre, Dominique",1804,Bodley Head,(172) 571-4178,2458142.5,2458154.5,1
Asa Small,7690635780455082508202074,1983,+1-(001)-935-0335,4262304053838681055423921,Freedom at Midnight,1255,"Lapierre, Dominique",1804,Fontana,326.658.5696,2458294.5,2458310.5,1
Alexander Kinney,9393364417977409669494386,2006,1-230-696-0080,5741275037128195032484538,Birth of a Theorem,1386,"Villani, Cedric",1748,Dell,+1-(172)-750-1157,2458308.5,2458314.5,1
Jc Ratliff,5590283029754282816780572,1987,+1-(448)-483-3507,2626271483612043997568613,Mein Kampf,1190,"Hitler, Adolf",1845,O'Reilly,1-122-313-8760,2458135.5,2458153.5,1
Sebastian Cohen,3793207514512264318315954,2009,130-139-3755,5899922895546784805583364,Urlasurla,1691,Deshpande P L,1849,Elsevier,359.226.5396,2458186.5,2458227.5,1
Chadwick Chambers,9204132089265988229733675,1985,(379) 269-4196,0322749932764598310582404,Girl who played with Fire,1934,"Larsson, Steig",1938,Dell,+1-(172)-750-1157,2458201.5,2458243.5,1
Heidy Brown,3702063940161967967517232,1981,973.074.4226,2469142346195873870338636,"Trembling of a Leaf, The",1567,"Maugham, William S",1611,Simon&Schuster,1-242-414-8385,2458253.5,2458255.5,1
Erik Daugherty,4365231141253166525953820,1976,1-944-254-5205,0064243141851669048313634,"Outsider, The",1145,"Camus, Albert",1719,Vintage,1-501-202-7994,2458157.5,2458197.5,1
Mee Estes,5541978677490166708910541,1972,171-315-0011,6951402656669125799360366,"Idiot, The",1800,"Dostoevsky, Fyodor",1591,Hyperion,882.640.9487,2458119.5,2458142.5,1
Mose Chambers,7900253221375390247431920,2007,1-631-997-5729,6522953752508315573257949,"Russian Journal, A",1444,"Steinbeck, John",1733,Simon&Schuster,1-242-414-8385,2458145.5,2458151.5,1
Irvin Rivera,4756416611975552524550569,1981,(925) 773-4993,2977102349963051751650514,Dylan on Dylan,1111,"Dylan, Bob",1443,Pocket,(933) 603-7079,2458234.5,2458238.5,1
Deetta Price,0962883899006672771065771,1977,1-450-122-2815,6207932283953196080802443,"Justice, Judiciary and Democracy",1795,"Ranjan, Sudhanshu",1792,Simon&Schuster,1-242-414-8385,2458191.5,2458194.5,1
Chadwick Chambers,9204132089265988229733675,1985,(379) 269-4196,7193971650889864069403462,On Education,1575,"Russell, Bertrand",1901,Jaico,253.778.3477,2458181.5,2458184.5,1
Shantae Yang,7188329980942029803411013,1997,875-317-9706,3062480148109111687575098,More Tears to Cry,1568,"Sassoon, Jean",1590,TMH,1-239-558-4462,2458267.5,2458269.5,1
Jewell Lyons,1866134911332639698558639,1972,373-128-8347,3257909649517320551440819,"Discovery of India, The",1965,"Nehru, Jawaharlal",1696,Random House,502.110.3821,2458278.5,2458306.5,1
Alexander Kinney,9393364417977409669494386,2006,1-230-696-0080,3133992503197373403038323,"Nature of Statistical Learning Theory, The",1204,"Vapnik, Vladimir",1452,Pan,1-663-594-1588,2458283.5,2458289.5,1
Kimberli Schneider,6184216428042109495488267,1984,761.990.5356,6116820441849973439951703,Eyeless in Gaza,1098,"Huxley, Aldous",1515,Mauj,(281) 493-2802,2458243.5,2458250.5,1
Eric Cortez,5432964453766222884786171,2014,064-090-3468,2296355096833211809872939,Rationality & Freedom,1437,"Sen, Amartya",1705,Pan,1-663-594-1588,2458164.5,2458192.5,1
Bill Morales,5713468365007349888696601,2015,902.994.6482,4198920461847250235556614,Batatyachi Chal,1486,Deshpande P L,1849,Hyperion,882.640.9487,2458121.5,2458265.5,1
Gordon Dawson,8385857141919853130101626,1997,(429) 451-2686,9738673554943425458685605,"Code Book, The",1933,"Singh, Simon",1772,Random,+1-(530)-757-4100,2458224.5,2458239.5,1
Gordon Dawson,8385857141919853130101626,1997,(429) 451-2686,6375651258215741233272084,Python for Data Analysis,1093,"McKinney, Wes",1430,Mauj,(281) 493-2802,2458227.5,2458246.5,1
Deshawn Ellison,3258249040169280179399806,1975,1-907-648-6291,3828537331517607567716333,"Idea of Justice, The",1843,"Sen, Amartya",1705,Routledge,+1-(476)-431-0927,2458270.5,2458271.5,1
Silvana Byrd,9951801861906100798515179,1986,1-165-139-3143,6433317423770206300459576,Mossad,1877,"Baz-Zohar, Michael",1544,Wiley,024-858-6102,2458257.5,2458258.5,1
Galen Avila,5787305952412130995298711,1971,1-214-659-0713,9352880988960820452833014,Dongri to Dubai,1505,"Zaidi, Hussain",1506,Penguin,824.149.4511,2458236.5,2458241.5,1
Lawerence Marks,9038345780945157307609335,1992,992-344-1311,3212759386427364511336897,Slaughterhouse Five,1735,"Vonnegut, Kurt",1620,Pan,1-663-594-1588,2458132.5,2458168.5,1
Chadwick Chambers,9204132089265988229733675,1985,(379) 269-4196,0965820288613214225857499,Machine Learning for Hackers,1314,"Conway, Drew",1924,Hyperion,882.640.9487,2458143.5,2458152.5,1
Lynwood Reeves,0907606975184617701246876,1999,052-558-9557,7174752716477771579300608,Vyakti ani Valli,1643,"Deshpande, P L",1545,MIT Press,+1-(514)-735-5947,2458248.5,2458249.5,1
Zane Irwin,2896552070462588416602920,1986,1-302-958-5583,1293707574979654010961485,Girl with the Dragon Tattoo,1688,"Larsson, Steig",1938,CRC,+1-(724)-740-6946,2458143.5,2458208.5,1
Bryan David,0557932438548234219826200,2004,1-581-451-6359,2782920489299963177543528,Maqta-e-Ghalib,1592,"Garg, Sanjay",1933,Apress,836.632.0273,2458219.5,2458221.5,1
Jc Ratliff,5590283029754282816780572,1987,+1-(448)-483-3507,8392068040567133268830009,Rationality & Freedom,1951,"Sen, Amartya",1705,TMH,1-239-558-4462,2458311.5,2458313.5,1
Efrain Snider,1924305381240284244694618,2004,392-156-2895,4693365182663502753992076,"Courtroom Genius, The",1108,Sorabjee,1697,Prentice Hall,1-047-873-5865,2458247.5,2458260.5,1
Jc Ratliff,5590283029754282816780572,1987,+1-(448)-483-3507,3460775365494387989951427,Maqta-e-Ghalib,1100,"Garg, Sanjay",1933,Simon&Schuster,1-242-414-8385,2458124.5,2458143.5,1
Marcus Bray,0398701444116160390302808,1971,(804) 626-4214,4009114820827475321918739,Slaughterhouse Five,1369,"Vonnegut, Kurt",1620,Vintage,1-501-202-7994,2458124.5,2458141.5,1
Kim Briggs,8879917779052017236449519,2010,1-474-974-0736,6558754227892328358462715,Urlasurla,1723,Deshpande P L,1849,MIT Press,+1-(514)-735-5947,2458133.5,2458189.5,1
Sarina Burke,1603404408261407982703034,1985,(811) 784-9570,0432414318464543162567711,Introduction to Algorithms,1835,"Cormen, Thomas",1869,Elsevier,359.226.5396,2458129.5,2458144.5,1
Galen Avila,5787305952412130995298711,1971,1-214-659-0713,9072366395188797579827564,Uncommon Wisdom,1952,"Capra, Fritjof",1934,Routledge,+1-(476)-431-0927,2458209.5,2458247.5,1
Drew Gonzalez,5376103477720243579162264,1979,(412) 666-0506,4251196886513072053001763,"Amulet of Samarkand, The",1296,"Stroud, Jonathan",1996,TMH,1-239-558-4462,2458532.5,2458539.5,0
Barney Hart,5128664476629915847604278,1982,959.342.6988,0628853307493289279080839,"Story of Philosophy, The",1436,"Durant, Will",1782,Pocket,(933) 603-7079,2458245.5,2458265.5,1
Lonny Duffy,1315125572084926153778412,2012,773-202-5135,4422279234089894389708018,Unpopular Essays,1704,"Russell, Bertrand",1901,Pan,1-663-594-1588,2458261.5,2458279.5,1
Harvey Hopkins,7082077589814192654667622,2011,274-929-3335,9629157074756664585313592,Design with OpAmps,1007,"Franco, Sergio",1764,TMH,1-239-558-4462,2458119.5,2458156.5,1
Deetta Price,0962883899006672771065771,1977,1-450-122-2815,8218356538121452353699667,City of Djinns,1322,"Dalrymple, William",1795,Jaico,253.778.3477,2458151.5,2458166.5,1
Leland Weiss,6667855752812298210597600,1974,1-430-603-4231,4972403527618862159077859,Ayn Rand Answers,1802,"Rand, Ayn",1805,Wiley,024-858-6102,2458303.5,2458312.5,1
Mason Tucker,5394584001297934399917056,1983,923-609-8252,3988994701835641108676952,"Pillars of the Earth, The",1247,"Follett, Ken",1559,HarperCollins,(158) 998-2435,2458184.5,2458200.5,1
Zane Irwin,2816080189446391139436214,1994,980.467.8497,9426761675672857076966136,Zen & The Art of Motorcycle Maintenance,1413,"Pirsig, Robert",1643,Random House,502.110.3821,2458123.5,2458169.5,1
Kim Briggs,8879917779052017236449519,2010,1-474-974-0736,0216305548170653353578250,Talking Straight,1561,"Iacoca, Lee",1432,Routledge,+1-(476)-431-0927,2458126.5,2458127.5,1
Alonzo Crawford,3941136294053688766036728,1981,1-811-700-9337,0389728702647466033574482,"Judge, The",1060,Mark Jacobson,1458,Dell,+1-(172)-750-1157,2458183.5,2458201.5,1
Eric Cortez,5432964453766222884786171,2014,064-090-3468,3312796688808773881877673,Mossad,1282,"Baz-Zohar, Michael",1544,HBA,210.406.2584,2458200.5,2458201.5,1
Leland Weiss,6667855752812298210597600,1974,1-430-603-4231,5708099011895921203079550,20000 Leagues Under the Sea,1674,"Verne, Jules",1455,Simon&Schuster,1-242-414-8385,2458202.5,2458220.5,1
Loura Sullivan,2142642943213476330171280,1994,953.437.6188,2999909685155141474258627,Eyeless in Gaza,1159,"Huxley, Aldous",1515,Prentice Hall,1-047-873-5865,2458128.5,2458142.5,1
Alton Stokes,3417298192108140969606917,1999,228.343.5668,1609858265981820468870998,To Sir With Love,1683,Braithwaite,1530,Fontana,326.658.5696,2458280.5,2458287.5,1
Karmen Knox,1532751081865920834277724,1991,(574) 470-3461,5240075323670945810720658,Econometric Analysis,1026,"Greene, W. H.",1993,HarperCollins,(158) 998-2435,2458296.5,2458303.5,1
Coretta Mooney,8375732996263512360156923,2008,1-013-516-5139,5417941883156766188067012,Machine Learning for Hackers,1861,"Conway, Drew",1924,Mauj,(281) 493-2802,2458147.5,2458167.5,1
Erik Daugherty,4365231141253166525953820,1976,1-944-254-5205,1057220857192539484375934,"Code Book, The",1897,"Singh, Simon",1772,FreePress,890.262.9357,2458132.5,2458148.5,1
Kimberli Schneider,6184216428042109495488267,1984,761.990.5356,4212502152384208636172335,Manasa,1921,"Kale, V P",1946,Jaico,253.778.3477,2458209.5,2458221.5,1
Olin Gates,6821642241715136502939452,1987,1-072-582-2952,3242102225312354581064223,Learning OpenCV,1632,"Bradsky, Gary",1890,Springer,(279) 282-8193,2458172.5,2458176.5,1
Coretta Mooney,8375732996263512360156923,2008,1-013-516-5139,8228108684273536660429004,"Maugham's Collected Short Stories, Vol 3",1855,"Maugham, William S",1611,Hyperion,882.640.9487,2458269.5,2458308.5,1
Dallas French,0189639962362105313664589,1991,140.869.7386,0594593486373267497912585,"Pillars of the Earth, The",1612,"Follett, Ken",1559,Pan,1-663-594-1588,2458220.5,2458226.5,1
Deedra Whitfield,5929004553169235536637630,1972,1-929-909-6988,3932242582325192684743774,"Hunchback of Notre Dame, The",1265,"Hugo, Victor",1658,TMH,1-239-558-4462,2458156.5,2458165.5,1
Alexander Kinney,9393364417977409669494386,2006,1-230-696-0080,8078352804626894915748184,Empire of the Mughal - The Serpent's Tooth,1163,"Rutherford, Alex",1765,Mauj,(281) 493-2802,2458286.5,2458299.5,1
Jewell Lyons,1866134911332639698558639,1972,373-128-8347,1512048477176509657379327,Burning Bright,1650,"Steinbeck, John",1733,Random House,502.110.3821,2458276.5,2458312.5,1
Bryan David,0557932438548234219826200,2004,1-581-451-6359,2187414053362287094455284,"Prince, The",1292,Machiavelli,1633,Simon&Schuster,1-242-414-8385,2458255.5,2458306.5,1
Meg Preston,4325970820176813063340730,2000,405.825.7924,3551353837192653839665304,"Moon and Sixpence, The",1597,"Maugham, William S",1611,Dell,+1-(172)-750-1157,2458233.5,2458241.5,1
Donetta Mcdonald,9610688376985651779371613,1971,1-428-201-3380,0432414318464543162567711,Introduction to Algorithms,1835,"Cormen, Thomas",1869,Elsevier,359.226.5396,2458267.5,2458297.5,1
Jewell Lyons,3674481301646116839144082,2010,357.200.5882,1682087072930662557391340,O Jerusalem!,1850,"Lapierre, Dominique",1804,O'Reilly,1-122-313-8760,2458142.5,2458150.5,1
Elbert David,4637234555376358487055887,2013,1-472-109-7436,3769642021874067678164443,Superfreakonomics,1449,"Dubner, Stephen",1810,Prentice Hall,1-047-873-5865,2458215.5,2458253.5,1
Yanira Wheeler,1195094781883833145765974,2015,248-054-7644,6924548445384740526791297,"Short History of the World, A",1562,"Wells, H G",1862,CRC,+1-(724)-740-6946,2458174.5,2458182.5,1
Erik Daugherty,4365231141253166525953820,1976,1-944-254-5205,3863183356341983474285569,Integration of the Indian States,1766,"Menon, V P",1708,Pocket,(933) 603-7079,2458244.5,2458308.5,1
Marcus Bray,0398701444116160390302808,1971,(804) 626-4214,0440980705387186338562613,"Artist and the Mathematician, The",1491,"Aczel, Amir",1921,Hyperion,882.640.9487,2458142.5,2458200.5,1
Isaiah Beck,7803288748820769600627526,2016,762.624.1992,4201966649772842937503969,Freedom at Midnight,1581,"Lapierre, Dominique",1804,Penguin,824.149.4511,2458219.5,2458259.5,1
Bennett Daniel,3521007764925597111961645,1973,(377) 750-0899,5686119601510831778440007,Ayn Rand Answers,1648,"Rand, Ayn",1805,Mauj,(281) 493-2802,2458160.5,2458171.5,1
Sarina Burke,0235356710463171343109006,1972,(928) 158-6622,2282904069021322202821557,"Life in Letters, A",1286,"Steinbeck, John",1733,vikas,084-702-6767,2458230.5,2458246.5,1
Asa Small,7690635780455082508202074,1983,+1-(001)-935-0335,2408782525074933999987199,O Jerusalem!,1912,"Lapierre, Dominique",1804,FreePress,890.262.9357,2458251.5,2458299.5,1
Coretta Mooney,8375732996263512360156923,2008,1-013-516-5139,7351503397038173782988268,Identity & Violence,1585,"Sen, Amartya",1705,Dell,+1-(172)-750-1157,2458146.5,2458147.5,1
Shantae Yang,7188329980942029803411013,1997,875-317-9706,1471599623419958673900478,"Brethren, The",1026,"Grisham, John",1955,Wiley,024-858-6102,2458240.5,2458292.5,1
Dusti Pate,3619920604129964426583825,1983,1-033-501-1943,7792367213926812677705221,"Last Mughal, The",1401,"Dalrymple, William",1795,Routledge,+1-(476)-431-0927,2458135.5,2458156.5,1
Sarina Burke,1603404408261407982703034,1985,(811) 784-9570,0965820288613214225857499,Machine Learning for Hackers,1314,"Conway, Drew",1924,Hyperion,882.640.9487,2458240.5,2458263.5,1
Yanira Wheeler,1195094781883833145765974,2015,248-054-7644,7556520540030412140323125,"Phantom of Manhattan, The",1342,"Forsyth, Frederick",1781,Picador,+1-(351)-688-5454,2458196.5,2458199.5,1
Lamont Sullivan,8126690944321555727027779,1975,(613) 040-9029,5179050775017697222318486,Learning OpenCV,1164,"Bradsky, Gary",1890,HarperCollins,(158) 998-2435,2458120.5,2458122.5,1
Galen Avila,5787305952412130995298711,1971,1-214-659-0713,5344390161209419905811750,"Artist and the Mathematician, The",1137,"Aczel, Amir",1921,Pearson,1-293-811-9652,2458257.5,2458270.5,1
Kayleigh Lambert,2700145311443270916061106,1975,840-831-4174,3529272858534937720244040,"Nature of Statistical Learning Theory, The",1971,"Vapnik, Vladimir",1452,Springer,(279) 282-8193,2458194.5,2458219.5,1
Coretta Mooney,8375732996263512360156923,2008,1-013-516-5139,1334605519809422588653033,In a Free State,1784,"Naipaul, V. S.",1867,vikas,084-702-6767,2458284.5,2458318.5,1
Edmond Odom,7597862788341531238123345,2011,601.516.3549,0440980705387186338562613,"Artist and the Mathematician, The",1491,"Aczel, Amir",1921,Hyperion,882.640.9487,2458285.5,2458307.5,1
Silvana Byrd,9951801861906100798515179,1986,1-165-139-3143,0112459613111572163937731,"Christmas Carol, A",1439,"Dickens, Charles",1438,Hyperion,882.640.9487,2458143.5,2458179.5,1
Dong Russell,6781424783535223369763430,2000,(369) 967-4118,1904971281022935389929811,Structure & Interpretation of Computer Programs,1084,"Sussman, Gerald",1538,Dell,+1-(172)-750-1157,2458137.5,2458142.5,1
Mason Tucker,5394584001297934399917056,1983,923-609-8252,1379625467150917781331492,Orientalism,1128,"Said, Edward",1919,Fontana,326.658.5696,2458229.5,2458280.5,1
Irvin Rivera,4756416611975552524550569,1981,(925) 773-4993,1478512883037490774105569,Angels & Demons,1953,"Brown, Dan",1404,Fontana,326.658.5696,2458204.5,2458230.5,1
Gregory Weeks,2434077194010219727211403,2006,1-987-121-2418,3782838966203843470045691,Let Us C,1902,"Kanetkar, Yashwant",1987,Routledge,+1-(476)-431-0927,2458125.5,2458126.5,1
Drew Gonzalez,5376103477720243579162264,1979,(412) 666-0506,5741312374651572225530084,Python for Data Analysis,1279,"McKinney, Wes",1430,Vintage,1-501-202-7994,2458532.5,2458539.5,0
Irvin Rivera,4756416611975552524550569,1981,(925) 773-4993,9896100467569329877615098,"Arthashastra, The",1942,Kautiyla,1731,Vintage,1-501-202-7994,2458176.5,2458182.5,1
Mose Chambers,7900253221375390247431920,2007,1-631-997-5729,6036928438329575046252096,"Moon is Down, The",1580,"Steinbeck, John",1733,BBC,(277) 273-2102,2458153.5,2458177.5,1
Lynwood Reeves,0907606975184617701246876,1999,052-558-9557,7892488374111844821745268,Freedom at Midnight,1667,"Lapierre, Dominique",1804,BBC,(277) 273-2102,2458258.5,2458315.5,1
Lawerence Marks,9038345780945157307609335,1992,992-344-1311,8282800263225507455213931,"Age of Wrath, The",1507,"Eraly, Abraham",1931,Springer,(279) 282-8193,2458252.5,2458258.5,1
Jewell Lyons,1866134911332639698558639,1972,373-128-8347,8304841631783409407926829,In a Free State,1758,"Naipaul, V. S.",1867,Picador,+1-(351)-688-5454,2458241.5,2458250.5,1
Ethyl Huber,2170456213913206867221432,1981,1-171-535-4717,2881735449763320484601195,"Winter of Our Discontent, The",1100,"Steinbeck, John",1733,HBA,210.406.2584,2458306.5,2458317.5,1
Isaiah Beck,7803288748820769600627526,2016,762.624.1992,9960247471843061791259917,"Outsider, The",1622,"Camus, Albert",1719,O'Reilly,1-122-313-8760,2458287.5,2458297.5,1
Alton Stokes,3417298192108140969606917,1999,228.343.5668,5762546326788180600143072,"Theory of Everything, The",1481,"Hawking, Stephen",1440,vikas,084-702-6767,2458216.5,2458248.5,1
Alexander Kinney,9393364417977409669494386,2006,1-230-696-0080,1448138601918595797656665,How to Think Like Sherlock Holmes,1183,"Konnikova, Maria",1501,HighStakes,218.696.0130,2458209.5,2458269.5,1
Bennett Daniel,3521007764925597111961645,1973,(377) 750-0899,1903815622449252633848683,"Signal and the Noise, The",1128,"Silver, Nate",1469,HarperCollins,(158) 998-2435,2458252.5,2458287.5,1
Isaiah Beck,7803288748820769600627526,2016,762.624.1992,8165740601788908416751240,Doctor on the Brain,1680,"Gordon, Richard",1845,Bodley Head,(172) 571-4178,2458145.5,2458177.5,1
Garth Blackburn,8005796751781743312139795,1986,260.205.7469,6440981074719270831469630,"Outsider, The",1116,"Camus, Albert",1719,Prentice Hall,1-047-873-5865,2458216.5,2458218.5,1
Alton Stokes,3417298192108140969606917,1999,228.343.5668,5887572017987856799747732,Ahe Manohar Tari,1124,"Deshpande, Sunita",1490,Jaico,253.778.3477,2458152.5,2458173.5,1
Kayleigh Lambert,2700145311443270916061106,1975,840-831-4174,2678171640944880061106824,One,1481,"Bach, Richard",1468,Orient Blackswan,552-486-8974,2458162.5,2458168.5,1
Trent Turner,3333307133453377475757611,1971,1-558-908-9420,9802951200377911464789129,"New Machiavelli, The",1251,"Wells, H. G.",1925,Dell,+1-(172)-750-1157,2458129.5,2458137.5,1
Ethyl Huber,2170456213913206867221432,1981,1-171-535-4717,7557042744559022503502797,Ashenden of The British Agent,1665,"Maugham, William S",1611,TMH,1-239-558-4462,2458296.5,2458300.5,1
Alton Stokes,3417298192108140969606917,1999,228.343.5668,6694727554838180470952724,Urlasurla,1590,Deshpande P L,1849,Hyperion,882.640.9487,2458157.5,2458167.5,1
Erik Daugherty,4365231141253166525953820,1976,1-944-254-5205,6767388244031072359986805,"Justice, Judiciary and Democracy",1178,"Ranjan, Sudhanshu",1792,Routledge,+1-(476)-431-0927,2458141.5,2458150.5,1
Jc Ratliff,5590283029754282816780572,1987,+1-(448)-483-3507,4206828090264157636303213,Tales of Beedle the Bard,1524,"Rowling, J K",1665,Wiley,024-858-6102,2458154.5,2458167.5,1
